Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 23.0888 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.8391 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.8436 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 44.6474 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.5489 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 51.0791 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 50.9891 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 52.4543 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 274.4961 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.5532 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.7768 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.7414 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.8455 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.6998 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.8870 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.9820 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.3064 sec

Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.8828 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 23.3771 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 22.5788 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 26.7964 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 26.8083 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.3698 sec

Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.1946 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.2122 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 107.7961 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.9956 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.9692 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.1365 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.6624 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 170.0774 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.8613 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.8609 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 232.6043 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 120.3608 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 120.0747 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 120.7687 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 121.2726 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.9462 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.9751 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.4148 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.6845 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 28.5369 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 28.5219 sec

Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 318.2723 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.3961 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.3917 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 420.8378 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 428.9415 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 323.2762 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 90.9282 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 106.0876 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 100.1078 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 155.7067 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.0937 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 18.9344 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.0936 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 18.9336 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 22.4195 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 22.4107 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 117.9824 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 100.8830 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 157.7494 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 118.8864 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 119.2229 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 122.0238 sec
Cores: 4, Threads: 4, Image: 7552x4320.png, Time: 122.3733 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.6451 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.6456 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 227.5625 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 322.1927 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 321.5291 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 30.2264 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 30.2194 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 114.2662 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 114.6572 sec
Cores: 2, Threads: 2, Image: 7552x4320.png, Time: 118.8820 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 364.2461 sec
Cores: 8, Threads: 8, Image: 7552x4320.png, Time: 355.9618 sec
